"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SEPTIN10",-4.17260064585833,7.49739074893617,-62.0085903097342,1.52463825911857e-78,3.07717739837902e-74,168.402379784838
"ISL1",6.68668248281041,7.62958506205319,45.0338070357333,8.31027985936754e-66,8.38631892008075e-62,139.787778596086
"SCARA5",-6.18956552720105,9.00876892787234,-43.3536308764711,2.59143168226268e-64,1.74342885477026e-60,136.396926121785
"CTNNA1",-4.17297013125833,7.17311944606383,-43.1296818664475,4.13632617175739e-64,2.08708677811448e-60,135.935554247953
"MAMDC2",-4.65153456804271,7.75670821265957,-40.4612712889621,1.29503780358676e-61,5.22754959795833e-58,130.257544854404
"LINC01133",-3.26267110672604,6.93728592007447,-39.919266626057,4.3364975294442e-61,1.36108908937004e-57,129.061626181391
"NOTCH2",-3.1950474063802,8.69411721228723,-39.8814465113262,4.72061815666169e-61,1.36108908937004e-57,128.977616647693
"ERLIN1",-2.62259577089062,6.45921971160638,-39.4851888286199,1.15364584564654e-60,2.91050426283551e-57,128.092957999708
"MIAT",5.65176910281875,6.26196673892553,39.2133053092841,2.13965377141347e-60,4.79829245204867e-57,127.481219218764
"DCT",-5.76174388687813,8.54094130259574,-38.7641772801353,5.98590969234872e-60,1.20813615320674e-56,126.462083037009
"FCER1A",-5.30860564344375,8.55962227369149,-38.5526864246526,9.75222123590458e-60,1.78935528367511e-56,125.978423161157
"MBNL2",-3.30705824332917,7.23534306185106,-38.3968299127918,1.39949926912728e-59,2.35384114573298e-56,125.620437057048
"MPP7",-4.7350370841448,7.83089067844681,-38.1194290956749,2.67034648135576e-59,4.14581561793871e-56,124.979979200812
"INSM1",6.62370728231979,6.79021094720213,37.9756226698683,3.73884189226109e-59,5.39007470796468e-56,124.646286525433
"PAFAH1B1",-2.66863264202812,6.68505826159574,-37.8706043315254,4.78397054361761e-59,6.43699183212228e-56,124.401870950068
"GSN",-4.51519199408125,8.27707660376596,-37.7371200079635,6.54988200229086e-59,8.26226677826477e-56,124.090313176774
"PRNP",-2.90929564984167,8.2696569632234,-37.6717418436227,7.64216032497357e-59,9.07304246111421e-56,123.937352270914
"SERPINA12",-5.97490074485833,9.00441834418085,-37.6210460833384,8.61442351579437e-59,9.65916165662655e-56,123.818576731425
"IL37",-4.88278094867083,7.72163929561702,-37.3846183110239,1.50867880745975e-58,1.60261391426106e-55,123.262722772745
"NTRK2",-4.05270565712083,8.02316704810638,-37.182829086655,2.43993622809615e-58,2.46226164458323e-55,122.785780704811
"CCL27",-5.29146767739584,8.00814310104255,-36.9874673355374,3.89452561368161e-58,3.74301002194933e-55,122.321795006812
"CHP2",-3.99001746742812,8.85861696879787,-36.8623241013694,5.26055268659419e-58,4.82607885788776e-55,122.023414741838
"PPM1E",5.47925224458021,5.69859172131915,36.4185994052496,1.53869550002617e-57,1.35023875117514e-54,120.958031886547
"POF1B",-5.19822730610209,7.72472076475532,-36.3860723067826,1.66538773000455e-57,1.40052168977841e-54,120.879475965249
"C1orf68",-4.266203036875,9.26993792017021,-36.2355594766148,2.40364196908065e-57,1.93333261924079e-54,120.515151245356
"KLF3",-3.08651082065104,7.23025563759574,-36.2210195529819,2.49054392807117e-57,1.93333261924079e-54,120.479884702302
"VAV3",-3.32366413820521,6.4853645212766,-35.5358646396654,1.34671090184652e-56,1.00669133822105e-53,118.803516060243
"BCHE",-3.70865139325416,6.77402327190426,-35.5151865046396,1.4177020360055e-56,1.02153875005252e-53,118.752475996083
"CD164",-3.48246455065938,8.54407143026596,-35.5012137718294,1.46780081016316e-56,1.02153875005252e-53,118.71797197137
"PSEN1",-2.3144472753073,7.56735012440426,-35.4064095147743,1.85837796556291e-56,1.25025474929854e-53,118.483544375062
"SCEL",-6.65435898377083,9.19790119037234,-35.1612462641128,3.42935013237787e-56,2.23272818457363e-53,117.874719691196
"PIK3C2A",-2.64065028196875,6.51898344118085,-35.1452182166462,3.56995459187569e-56,2.25163729774459e-53,117.834785458038
"C1S",-4.68536460084479,7.64409624114894,-34.9585121729505,5.70752359437204e-56,3.49075602137003e-53,117.368410395486
"CFD",-4.9418864599375,10.8835429295745,-34.9032887624517,6.55996660766934e-56,3.89411194242913e-53,117.230044634741
"SOX2",5.57445939282708,7.33809894435106,34.8179293711284,8.13780638866418e-56,4.69272418121169e-53,117.015789879241
"AQP1",-3.77375008369271,9.1697957357766,-34.8066945896967,8.3722489298995e-56,4.69380833756005e-53,116.987555658818
"DKK2",-4.19568950210208,6.98808613387234,-34.7155805184645,1.05439495032148e-55,5.73820435918267e-53,116.758278306873
"CPNE3",-4.03767882771458,9.08353817281915,-34.7059766616727,1.08037341152922e-55,5.73820435918267e-53,116.734080438946
