"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008544","GO:0008544","epidermis development","151/4251","324/18722",1.1341844051354e-21,7.11473877341439e-18,4.84117659244638e-18,"DCT/PAFAH1B1/C1orf68/SCEL/LCE2B/EXPH5/KLF4/KRT2/TGM3/EGFR/FLG2/TXNIP/POU2F3/ACER1/SOSTDC1/JAG1/ABCA12/CST6/AKR1C3/TP63/LCE1B/GJB5/CERS3/KRT10/CLIC4/CDSN/FLG/ADAM9/KRT15/COL17A1/GRHL1/KLK7/PPL/ZNF750/ROCK2/NAB1/TNFRSF19/EREG/TMEM79/FGFR2/KLK5/SPINK5/ASAH1/EVPL/YAP1/FZD3/ALDH3A2/ATP7A/PAX6/GRHL3/SVEP1/SULT2B1/BNC1/EZH2/NCOA3/EMP1/CD109/UGCG/TGM5/CNFN/CALML5/SGPP1/LGR4/WNT16/LGR5/SOX9/FERMT1/OVOL1/CASP14/KRTDAP/DNASE1L2/FUZ/LRP4/ZFP36L1/CSTA/PLEC/KRT5/AQP3/APCDD1/SPRR4/CYP26B1/POU4F3/KRT31/USH2A/LHFPL5/GRHL2/LDB2/IVL/ALOX15B/ANXA1/FOSL2/TRIM16/FOXN1/DSP/BMP4/KRT25/KAZN/KRT14/KRT71/FLOT2/SLITRK6/SEC24B/HDAC1/FOXQ1/IRF6/POU3F2/TCHH/CRABP2/TGFB2/NSDHL/WNT10A/SPRR1B/POU3F1/SFN/EPHA2/VDR/KRT27/USH1C/HDAC2/ATOH1/NUMA1/GAL/MYO7A/FZD6/SPRR2G/LHX2/HES1/TGM1/PITX2/PPARA/LAMB3/SPRR1A/IGFBP5/LCE1E/KLF7/PLS1/SRSF6/CDH3/HEY2/TMEM132E/LCE3D/LAMC2/MAFF/FST/STRC/ESRP1/KRT16/CCN2/SPRR3/KRT85/S100A7",151
"GO:0061564","GO:0061564","axon development","194/4251","467/18722",3.12705016028619e-20,9.80799282773764e-17,6.67378336840027e-17,"ISL1/CTNNA1/NOTCH2/PAFAH1B1/NTRK2/PSEN1/PLP1/PICALM/GATA3/NRXN3/KLF4/ADCY1/CDH2/DPYSL5/PTPN11/CREB1/LHX3/STMN1/NRCAM/CNTN2/NEFH/RYK/KIF5C/SLIT3/CAMSAP2/POU4F1/FGFR2/NEFL/CHN1/MYCBP2/DYNLT1/NREP/EFNA4/UNC5A/RAPH1/OLFM1/FZD3/JAM3/JAK2/KLK8/TSKU/CRMP1/PAX6/KREMEN1/B4GALT6/ERBB2/CHL1/SEMA3G/APOD/BAIAP2/EMB/CDK5R1/SPART/CXCL12/NCAM1/EPHB6/MAP1S/GOLGA4/SEMA3C/DHFR/DSCAML1/EPHB3/LRTM2/KALRN/CTTN/UCHL1/SLIT1/EPHA4/EPHA10/DCLK1/LRP4/EPHA1/GLI3/SHOX2/OPHN1/ENAH/STXBP1/MACF1/STK24/POU4F3/TUBB2B/NRXN1/RNF165/RUFY3/HSP90AB1/ATP8A2/SLIT2/BRSK2/ARHGAP4/NRP1/RTN4/B3GNT2/RELN/SEMA4D/CNR1/LAMA2/KIF5B/SLITRK6/ISLR2/RGMA/BOC/S100A6/B4GALT5/CTNNA2/S100B/NFASC/ANK3/EFNA5/TIAM2/MAP2/POU3F2/CRTAC1/NEXN/NDEL1/CYFIP1/CRABP2/RAB10/NTN1/RAC1/SLITRK1/TAOK2/L1CAM/NOVA2/EPHA2/INPP5F/LAMB2/FKBP1B/ATOH1/POU4F2/DIP2B/LHX9/ARHGAP35/GRN/SHTN1/SPP1/NTNG2/NOTCH3/PAX2/CCK/C9orf72/LHX2/ITGB1/GDI1/TTC8/PHOX2B/FOLR1/RAB11A/DLX5/TSPO/TIAM1/METRN/EPHA7/APP/EPHB2/TRIO/NPTN/AMIGO1/KIAA0319/FLRT3/VASH2/DRAXIN/PAK1/SEMA4B/IGSF9/DCC/EFNB2/NEO1/PTPRF/KLF7/CDH4/APOE/MAPT/EFNA2/ALCAM/NPTX1/ROBO2/NR4A2/LAMC2/UST/ACTB/TRAK2/RET/TNR/UNC5D/USP9X/EGR2/BDNF/PTPRZ1/CDH11/VEGFA/PTN/PLXNC1/FOXG1/SEMA3E",194
"GO:0043588","GO:0043588","skin development","127/4251","263/18722",4.69309165950761e-20,9.81325466003041e-17,6.67736374712399e-17,"PSEN1/SCEL/LCE2B/EXPH5/CLDN1/KRT2/TGM3/EGFR/FLG2/TXNIP/ACER1/GJB3/SOSTDC1/JAG1/STMN1/ABCA12/TRAF3IP2/AKR1C3/TP63/LCE1B/CERS3/KRT10/CLIC4/CDSN/ASPRV1/ITGA6/FLG/ADAM9/ITGA2/GRHL1/PPL/ROCK2/TNFRSF19/EREG/KRT1/TMEM79/FGFR2/KLK5/SPINK5/ASAH1/EVPL/YAP1/FZD3/ATP7A/PAX6/GRHL3/NCOA3/CD109/UGCG/CNFN/SGPP1/SLC2A10/LGR4/WNT16/LGR5/SOX9/FERMT1/OVOL1/CASP14/DNASE1L2/FUZ/LRP4/ZFP36L1/CSTA/PLEC/AQP3/APCDD1/SPRR4/CYP26B1/ALOX12B/ATP8A2/ALOXE3/GRHL2/LDB2/IVL/ALOX15B/ANXA1/FOSL2/TRIM16/FOXN1/DSP/KRT25/KAZN/ARRDC3/KRT71/DHCR24/HDAC1/FOXQ1/IRF6/TCHH/TGFB2/NSDHL/WNT10A/SPRR1B/POU3F1/SFN/EPHA2/VDR/KRT27/HDAC2/NUMA1/GAL/FZD6/ITGB4/ALOX12/SPRR2G/COL1A2/LHX2/TGM1/TFAP2B/SPRR1A/JUP/FRAS1/MET/IGFBP5/LCE1E/SRSF6/CDH3/COL3A1/LCE3D/FST/COMP/KRT16/COL1A1/SPRR3/COL5A2/S100A7",127
"GO:0010975","GO:0010975","regulation of neuron projection development","182/4251","445/18722",3.26778580486902e-18,5.12470508848584e-15,3.48707143124839e-15,"PAFAH1B1/NTRK2/PSEN1/PDLIM5/LRP8/GATA3/SNAP25/KLF4/TMEM30A/ELAVL4/CDH2/CHRNA3/MDK/TNIK/NCK1/PMP22/LPAR1/ITGA6/CNTN2/RYK/GFI1/ATF1/TWF1/PTK6/CAMSAP2/NEFL/CAMK1D/CHN1/CFLAR/DYNLT1/ALK/ABI2/DNM3/KLK8/TSKU/CRMP1/CBFA2T2/SEZ6/CDC20/KREMEN1/SEMA3G/PACSIN1/EZH2/BAIAP2/CNTN1/CDK5R1/SPART/CXCL12/NFE2L2/ACTR2/GOLGA4/SEMA3C/PTK7/EPHB3/IQGAP1/TOX/ROR1/EPHA4/ARHGAP33/LRP4/SCARB2/SFRP1/RAP1A/TANC2/SHOX2/SDC2/KIF1A/MACF1/STK24/SERPINF1/RUFY3/ATP8A2/SLIT2/BRSK2/AVIL/ARF6/ARHGAP4/NRP1/RTN4/RELN/SEMA4D/NGEF/CNR1/CAMK2B/PLA2G3/ADAM10/CAPRIN1/KANK1/ADCYAP1/LZTS3/ISLR2/RGMA/EHD1/SF3A2/NDNF/CTNNA2/SRCIN1/TIAM2/MAP2/POU3F2/NDEL1/CYFIP1/CRABP2/ALKAL2/LZTS1/NTN1/SLITRK1/BAG5/L1CAM/RHOA/INPP5F/SARM1/PTPRD/FZD1/KDM1A/SS18L1/VIM/PPP3CA/ZNF804A/HDAC2/FKBP1B/POU4F2/DIP2B/TMEM106B/ARHGAP35/CRK/TENM3/GRN/SHTN1/SPP1/NTNG2/LGALS1/SFRP2/GDI1/PRRX1/CCDC88A/ARC/RAB11A/NDRG4/RAP2A/TIAM1/METRN/FUT9/EPHA7/NTRK3/EPHB2/NPTN/VLDLR/AMIGO1/KIAA0319/CD38/MARK1/HECW2/RAPGEF2/DRAXIN/PAK1/SEMA4B/PPFIA2/DCC/EFNB2/ID1/PTPRF/CDH4/APOE/MAPT/SPOCK1/ROBO2/CUX2/PPP1R9A/UST/TRAK2/RET/TNR/NEGR1/BDNF/VEGFA/STMN2/PTN/PLXNC1/ENC1/KLK6/SEMA3E",182
"GO:0001655","GO:0001655","urogenital system development","147/4251","338/18722",1.0059576342484e-17,1.26207444792804e-14,8.58770148816266e-15,"NOTCH2/GATA3/CAT/SERPINB7/AGTR1/SEC61A1/JAG1/OSR2/TRAF3IP2/HPGD/PSAPL1/TP63/RARG/DCN/FGFR2/CFLAR/SERPINB5/WWTR1/WNT2B/YAP1/OSR1/PDGFRA/PECAM1/TACSTD2/NFIA/BCL2L11/SDC4/LGR4/AHI1/LGR5/CENPF/SOX9/PTK7/EPHB3/OVOL1/ADIPOQ/IQGAP1/SDC1/SOX11/SPRY1/ITGA8/EPHA4/LRP4/SMAD3/TIPARP/WFS1/GLI3/IRX3/SFRP1/MYOCD/ZBTB16/HOXB7/CYP26B1/SERPINF1/PPAT/FBN1/WNT11/SLIT2/PODXL/AQP11/APAF1/NRP1/DLG1/CD34/ALOX15B/ANXA1/CA2/ASS1/FOXJ1/BMP4/SMARCC1/NPHP3/ESR1/ACTA2/ARG2/HSPB11/MTSS1/ACAT1/TGFB2/HELLS/AR/IRX1/PRDM1/COL4A1/SMAD1/PROX1/STAT1/SMAD5/RHOA/SIX2/CYP7B1/SOX4/LAMB2/RBP4/PDGFD/BMP2/EGR1/HAS2/PAX2/ARID5B/CTNNBIP1/MYC/HES1/GATA2/TTC8/TGFBR1/TFAP2B/PSAP/AKR1B1/TEK/EYA1/MMP9/VANGL2/FEM1B/EPHA7/EPHB2/BICC1/EPCAM/GPR4/CNTRL/MEF2C/PCSK5/SRD5A1/HEYL/FRAS1/ADAMTS1/NPNT/SIX4/SULF1/CALB1/PDGFRB/APH1A/IRX2/ENPEP/ERBB4/GREM1/NID1/BAX/ROBO2/EMX2/POU3F3/RET/RPGRIP1L/CTSH/VEGFA/SIX1/AP2B1",147
"GO:0007409","GO:0007409","axonogenesis","171/4251","418/18722",3.3621020532958e-17,3.51507769672076e-14,2.39181119756394e-14,"ISL1/NOTCH2/PAFAH1B1/NTRK2/PSEN1/PICALM/GATA3/NRXN3/ADCY1/CDH2/DPYSL5/PTPN11/CREB1/LHX3/STMN1/NRCAM/CNTN2/NEFH/RYK/KIF5C/SLIT3/POU4F1/FGFR2/NEFL/CHN1/MYCBP2/EFNA4/UNC5A/RAPH1/OLFM1/FZD3/TSKU/CRMP1/PAX6/B4GALT6/ERBB2/CHL1/SEMA3G/BAIAP2/EMB/CDK5R1/SPART/CXCL12/NCAM1/EPHB6/MAP1S/GOLGA4/SEMA3C/DSCAML1/EPHB3/LRTM2/KALRN/CTTN/UCHL1/SLIT1/EPHA4/EPHA10/DCLK1/LRP4/EPHA1/GLI3/SHOX2/OPHN1/ENAH/STXBP1/MACF1/POU4F3/TUBB2B/NRXN1/RNF165/RUFY3/HSP90AB1/ATP8A2/SLIT2/BRSK2/ARHGAP4/NRP1/RTN4/B3GNT2/RELN/SEMA4D/LAMA2/KIF5B/SLITRK6/ISLR2/RGMA/BOC/S100A6/B4GALT5/CTNNA2/S100B/NFASC/ANK3/EFNA5/TIAM2/MAP2/POU3F2/NEXN/NDEL1/CYFIP1/CRABP2/RAB10/NTN1/RAC1/SLITRK1/TAOK2/L1CAM/NOVA2/EPHA2/LAMB2/ATOH1/POU4F2/DIP2B/LHX9/ARHGAP35/SHTN1/SPP1/NTNG2/NOTCH3/PAX2/CCK/C9orf72/LHX2/ITGB1/GDI1/TTC8/PHOX2B/RAB11A/DLX5/TIAM1/METRN/EPHA7/APP/EPHB2/TRIO/NPTN/AMIGO1/KIAA0319/FLRT3/DRAXIN/PAK1/SEMA4B/IGSF9/DCC/EFNB2/NEO1/KLF7/CDH4/APOE/MAPT/EFNA2/ALCAM/NPTX1/ROBO2/NR4A2/LAMC2/UST/ACTB/TRAK2/RET/TNR/UNC5D/USP9X/EGR2/BDNF/PTPRZ1/CDH11/VEGFA/PLXNC1/FOXG1/SEMA3E",171
"GO:0032970","GO:0032970","regulation of actin filament-based process","160/4251","396/18722",1.3365900235588e-15,1.19777560254063e-12,8.15018427899391e-13,"NOTCH2/GSN/CCL27/PPM1E/TMOD3/SYNPO2/PLN/ARFIP1/WDR1/MDK/STMN1/NCK1/F2RL1/SPTBN1/LPAR1/AKAP13/PIK3R1/ATP1A2/TWF1/ROCK2/CGNL1/EVL/LMOD1/CYFIP2/FERMT2/ABI2/ARPIN/FER/ADD3/JAM3/PDGFRA/ARFGEF1/CAV1/GRHL3/TACSTD2/BAIAP2/CDK5R1/ADD2/CXCL12/ACTR2/S100A10/SDC4/TRPM4/CCL21/EDN1/IQGAP1/CTTN/ASAP3/SMAD3/RGS4/EPHA1/TMEFF2/FZD10/ADD1/SFRP1/IQGAP3/ECT2/SWAP70/WASF1/ANK2/DIXDC1/FCHSD2/FAM107A/DSTN/ARPC5/WNT11/SLIT2/AVIL/ARHGEF5/ARF6/FLII/NRP1/DLG1/ALMS1/CARMIL1/MLST8/PYCARD/DSP/PRKCD/ACTR3/KANK1/CELSR1/DSC2/SCIN/MYOC/CTNNA2/PIK3CA/MTSS1/EFNA5/NCKAP1/CYFIP1/CAPZA2/RHOD/RAC1/SPIRE2/TAOK2/PROX1/RHOQ/RHOA/SRI/CD47/TJP1/RHOB/CSF1R/CDC42EP5/CDC42/IQGAP2/ARHGDIB/ARHGAP35/CRK/SNX9/LMOD2/PAM/C9orf72/SPTAN1/CAPG/DLC1/SPIRE1/TTC8/ELN/TGFBR1/RHPN2/MYADM/ARHGEF10/CCDC88A/F11R/SVIL/ADORA1/CAMK2D/LIMCH1/TEK/NTRK3/TRPM2/RAC3/TAOK1/SSH1/PLEKHH2/JUP/ARHGEF19/MET/PTGER4/TMOD2/PAK1/RDX/RGCC/ID1/PHLDB2/STC1/PDGFRB/CFL2/PDE4B/KANK4/BAG4/WASL/PPP1R9A/PKP2/CCN2/TAC1/SEMA3E/NEB",160
"GO:1990778","GO:1990778","protein localization to cell periphery","140/4251","333/18722",1.83129508458756e-15,1.43596425820222e-12,9.77092311579283e-13,"PRNP/PICALM/RAB26/SNAP25/VAMP3/CDH2/EGFR/SLMAP/ABCA12/TNIK/SPTBN1/EFR3B/RAB15/ATP2C2/EXOC5/PIK3R1/GPR158/ZDHHC3/ROCK2/DAB2/GNAI1/TMED2/ZDHHC5/ANK1/CPLX1/PID1/LIN7C/CAV1/EMP2/ATP1B3/ARL6IP5/PACSIN1/ANXA2/RAB3D/SCN3B/S100A10/TSPAN5/GOLGA4/CACNB3/RILPL1/LGALS3/ADIPOQ/GOLGA7/PPP2R5A/LYPLA1/RAB8B/C2CD5/SORBS1/RAP1A/WNK3/DPP10/PREPL/STXBP1/MACF1/EPB41/ANK2/GAS6/PKP3/MRAP2/STX4/DLG4/ARF6/LRP6/DENND4C/SAPCD2/DLG1/ACSL3/P2RY1/VAMP8/KIF13A/GRIN2C/GPER1/ADAM10/KIF5B/FLOT2/CDH1/EHD1/ATP2B4/NFASC/ANK3/ZDHHC23/TPBG/RAB10/AR/PLK1/RHOQ/TNFRSF1A/EPHA2/RAB40C/EHD2/HECTD1/AGR2/SEC23A/MAP7/KCNB1/RAB7A/NUMA1/EFR3A/BBIP1/OPTN/EHD4/VTI1B/KRT18/CACNB2/ITGB1/SMURF1/EPB41L2/TUB/TTC8/MYADM/CCDC88A/F11R/GPC6/RAB11A/RAP2A/NSG1/RAB3B/KCNB2/APPL1/EPHB2/VPS35/TESC/JUP/DPP6/RAPGEF2/RDX/ZDHHC2/RAB31/FAM126B/PLS1/TTC7B/LRRC15/BAG4/FAM126A/EZR/ACTB/CNST/PKP2/PDZK1/PDPK1",140
"GO:0072001","GO:0072001","renal system development","130/4251","302/18722",2.08645962783709e-15,1.45426236060246e-12,9.89543133436189e-13,"NOTCH2/GATA3/CAT/SERPINB7/AGTR1/SEC61A1/JAG1/OSR2/TRAF3IP2/HPGD/DCN/FGFR2/CFLAR/WWTR1/WNT2B/YAP1/OSR1/PDGFRA/PECAM1/TACSTD2/NFIA/BCL2L11/SDC4/LGR4/AHI1/LGR5/CENPF/SOX9/PTK7/OVOL1/ADIPOQ/IQGAP1/SDC1/SOX11/SPRY1/ITGA8/EPHA4/LRP4/SMAD3/TIPARP/WFS1/GLI3/IRX3/SFRP1/MYOCD/ZBTB16/HOXB7/CYP26B1/SERPINF1/PPAT/FBN1/WNT11/SLIT2/PODXL/AQP11/APAF1/NRP1/DLG1/CD34/CA2/ASS1/FOXJ1/BMP4/NPHP3/ACTA2/ARG2/HSPB11/MTSS1/ACAT1/TGFB2/IRX1/PRDM1/COL4A1/SMAD1/PROX1/STAT1/SMAD5/RHOA/SIX2/SOX4/LAMB2/RBP4/PDGFD/BMP2/EGR1/HAS2/PAX2/ARID5B/CTNNBIP1/MYC/HES1/TTC8/TGFBR1/TFAP2B/AKR1B1/TEK/EYA1/MMP9/VANGL2/EPHA7/BICC1/EPCAM/GPR4/CNTRL/MEF2C/PCSK5/HEYL/FRAS1/ADAMTS1/NPNT/SIX4/SULF1/CALB1/PDGFRB/APH1A/IRX2/ENPEP/ERBB4/GREM1/NID1/BAX/ROBO2/EMX2/POU3F3/RET/RPGRIP1L/CTSH/VEGFA/SIX1/AP2B1",130
"GO:0072659","GO:0072659","protein localization to plasma membrane","124/4251","284/18722",2.55245698438971e-15,1.60115626630767e-12,1.08949611281056e-12,"PRNP/PICALM/RAB26/VAMP3/CDH2/EGFR/SLMAP/ABCA12/TNIK/SPTBN1/EFR3B/RAB15/ATP2C2/EXOC5/PIK3R1/GPR158/ZDHHC3/ROCK2/DAB2/TMED2/ZDHHC5/ANK1/PID1/EMP2/ATP1B3/ARL6IP5/PACSIN1/ANXA2/RAB3D/SCN3B/S100A10/TSPAN5/GOLGA4/CACNB3/RILPL1/LGALS3/ADIPOQ/GOLGA7/PPP2R5A/LYPLA1/RAB8B/C2CD5/SORBS1/RAP1A/WNK3/DPP10/PREPL/STXBP1/MACF1/ANK2/GAS6/PKP3/MRAP2/STX4/ARF6/LRP6/DENND4C/DLG1/ACSL3/P2RY1/VAMP8/KIF13A/GPER1/KIF5B/FLOT2/CDH1/EHD1/ATP2B4/NFASC/ANK3/ZDHHC23/TPBG/RAB10/AR/RHOQ/TNFRSF1A/EPHA2/RAB40C/EHD2/HECTD1/AGR2/SEC23A/MAP7/KCNB1/RAB7A/EFR3A/OPTN/EHD4/VTI1B/KRT18/CACNB2/ITGB1/SMURF1/TTC8/MYADM/CCDC88A/F11R/RAB11A/RAP2A/NSG1/RAB3B/KCNB2/APPL1/EPHB2/VPS35/TESC/JUP/DPP6/RAPGEF2/RDX/ZDHHC2/RAB31/FAM126B/PLS1/TTC7B/LRRC15/BAG4/FAM126A/EZR/ACTB/CNST/PKP2/PDZK1/PDPK1",124
