"","degree","eigenvector","betweenness","closeness",""
"NIBAN2","176","0.00261353237951972","340.212498576283","0.000660501981505945","Module_1"
"CAPN1","178","0.00269939299370192","318.028062744356","0.000661375661375661","Module_1"
"INF2","181","0.00275396173217603","363.296412234458","0.000662690523525514","Module_1"
"MGAT4B","180","0.00275180812995281","343.60944250025","0.000662251655629139","Module_1"
"VPS28","172","0.00254401955178014","231.764818288017","0.000657462195923734","Module_1"
"FLOT2","168","0.00244828291809123","604.352528440187","0.000682128240109141","Module_1"
"FKBP8","165","0.002372342388351","641.891461081955","0.000677506775067751","Module_1"
"FAM3A","173","0.00253397107979483","737.480897055549","0.000687757909215956","Module_1"
"GNB2","166","0.00234315431737124","1666.73730639559","0.000677966101694915","Module_1"
"CDIPT","174","0.00261514346369836","253.002569256511","0.000659630606860158","Module_1"
"G6PD","172","0.00252234820537691","252.951585980264","0.000657030223390276","Module_1"
"METRN","163","0.00235676637376697","189.651233166946","0.000647249190938511","Module_1"
"RNPEPL1","177","0.00266642663026009","323.613583345668","0.000660938532716457","Module_1"
"EHD2","179","0.00279237271584747","489.77755883868","0.000675675675675676","Module_1"
"APRT","164","0.00236838924818473","548.674171372051","0.000677048070412999","Module_1"
"TSPAN4","178","0.00270373027922823","323.261324853946","0.000660938532716457","Module_1"
"FBXW5","163","0.00236267326934745","183.65241507114","0.000649350649350649","Module_1"
"PACS2","172","0.00253077841992314","255.688723067693","0.000657030223390276","Module_1"
"CAPG","165","0.00238782665646356","196.524003636418","0.000650195058517555","Module_1"
"TUBGCP2","168","0.0024416801463531","225.787539019619","0.000655307994757536","Module_1"
"MAPK3","178","0.00271534976322188","318.04853608841","0.000661375661375661","Module_1"
"BLVRB","168","0.00241805623782853","926.956626482833","0.000683060109289617","Module_1"
"SLC27A1","175","0.00263656397403599","270.012576863453","0.00066006600660066","Module_1"
"VAT1","173","0.00265249214356887","253.824581831576","0.000658761528326746","Module_1"
"GNAI2","164","0.00236778006050141","196.869668874555","0.000649772579597141","Module_1"
"IGFBP6","174","0.00261127104926509","261.130001784651","0.000659630606860158","Module_1"
"DBNL","172","0.00252225200284202","662.553647040171","0.000687285223367698","Module_1"
