"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","module"
"GO:0008286","GO:0008286","insulin receptor signaling pathway","5/46","116/18722",9.37011974414796e-06,0.0114788614683313,0.00940381262572935,"GRB10/PIP4K2B/PTPRE/BCAR3/PIK3R1",5,"Module_14"
"GO:0046626","GO:0046626","regulation of insulin receptor signaling pathway","4/46","66/18722",2.05615894474405e-05,0.0114788614683313,0.00940381262572935,"GRB10/PIP4K2B/PTPRE/PIK3R1",4,"Module_14"
"GO:1901653","GO:1901653","cellular response to peptide","7/46","359/18722",2.52838358333289e-05,0.0114788614683313,0.00940381262572935,"NAMPT/GRB10/PIP4K2B/PTPRE/RIPK2/BCAR3/PIK3R1",7,"Module_14"
"GO:0032868","GO:0032868","response to insulin","6/46","264/18722",4.33481822908303e-05,0.0147600560700277,0.0120918613758632,"GRB10/PIP4K2B/PTPRE/SRSF6/BCAR3/PIK3R1",6,"Module_14"
"GO:0043434","GO:0043434","response to peptide hormone","7/46","414/18722",6.24797028584696e-05,0.0170194710586471,0.0139428389536795,"AREG/GRB10/PIP4K2B/PTPRE/SRSF6/BCAR3/PIK3R1",7,"Module_14"
"GO:0046627","GO:0046627","negative regulation of insulin receptor signaling pathway","3/46","35/18722",8.59822638861169e-05,0.0183046442388009,0.0149956896925025,"GRB10/PIP4K2B/PTPRE",3,"Module_14"
"GO:1900077","GO:1900077","negative regulation of cellular response to insulin stimulus","3/46","37/18722",0.000101724620945594,0.0183046442388009,0.0149956896925025,"GRB10/PIP4K2B/PTPRE",3,"Module_14"
"GO:0007565","GO:0007565","female pregnancy","5/46","193/18722",0.000107516265719829,0.0183046442388009,0.0149956896925025,"ACVR1B/NAMPT/PRDM1/FOSB/FOSL1",5,"Module_14"
"GO:0032869","GO:0032869","cellular response to insulin stimulus","5/46","203/18722",0.000136261275240736,0.0194355759826405,0.0159221814217474,"GRB10/PIP4K2B/PTPRE/BCAR3/PIK3R1",5,"Module_14"
"GO:0050679","GO:0050679","positive regulation of epithelial cell proliferation","5/46","207/18722",0.000149277871615887,0.0194355759826405,0.0159221814217474,"AREG/FZD7/JCAD/OSR1/SRSF6",5,"Module_14"
