"","MCC_score"
"CHRNA3",6.54411526016444
"RIMS2",6.54303007716391
"GNG4",6.53382195411745
"SOX2",6.52623357852939
"PPM1E",6.52219851391527
"INA",6.52062487409063
"NEFM",6.50396474008289
"SNAP25",6.49906381939069
"BEX1",6.49799622855419
"FEN1",6.4925906792192
"ADCY1",6.48986790795629
"DPYSL5",6.48238580826779
"GFI1",6.48121820265099
"INSM1",6.48027113154498
"SCG3",6.47938927875182
"ELAVL2",6.47205505147985
"ELAVL4",6.46794017813835
"NAPB",6.46729905700616
"LRP8",6.45973408288462
"DPYSL4",6.45906452305592
"KCNH6",6.45455836493036
"MCM6",6.44635710841853
"CELSR3",6.44442959842819
"ENO2",6.4403571435792
"ASPHD1",6.4396038205635
"RUNDC3A",6.43505782340727
"SYT13",6.43448580471707
"CDH2",6.42722837713369
"RNF157",6.42350351253016
"ASRGL1",6.42322472014184
"KCNC1",6.4159481463634
"NEFH",6.41321047479745
"COL9A2",6.41199579327786
"RASD2",6.41122667304581
"CNTN2",6.40919157138312
"SYT1",6.40823614395542
"PARP1",6.4075849252055
"GDAP1",6.4044658263257
"UBE2S",6.39906368326319
"MPHOSPH9",6.39872868680072
"SEPTIN3",6.39593624920512
"RBFOX1",6.39360020510661
"LHX3",6.39245610389683
"SLC20A1",6.3918667655423
"NRXN3",6.3910508160266
"GPRIN1",6.39038950846321
"PAFAH1B3",6.3895001055146
"MCM2",6.38645350860895
"CDCA5",6.38464375422973
"STMN1",6.38246385469945
"FANCI",6.38245193751036
"NETO2",6.37992246864882
"TMEM178B",6.3778714235425
"CDKN2A",6.37518835075966
"NRSN1",6.37505556024251
"BUB1B",6.37460236654274
"RNASEH2A",6.37354005648406
"MARCKSL1",6.37168624464126
"SBK1",6.37107393126963
"CCNE2",6.36997068983984
"TYMS",6.36812575741703
"CCP110",6.3675922410369
"SPSB4",6.36707521945933
"APLP1",6.36685277668411
"MYEF2",6.36675106511635
"HES6",6.36649957836313
"ISL1",6.36555002787433
"FGF12",6.36385343681798
"MTHFD2",6.36273876176427
"CAMK4",6.36209403782743
"TMEM121B",6.36197340619307
"MLLT11",6.35719257484886
"CENPV",6.35694415156533
"DPY19L2P2",6.35515600462027
"GINS2",6.35217424158516
"DTL",6.34751702766482
"E2F7",6.34742539355776
"LONRF2",6.34667668899497
"MAP7D2",6.34533177379114
"KIF5C",6.34118588188204
"MYO15A",6.34010768739128
"DYNLT1",6.33514794587167
